ImageNumber,ObjectNumber,AreaShape_Area,Intensity_IntegratedIntensity_CorrGray,Intensity_IntegratedIntensity_OrigBlot,Location_CenterMassIntensity_X_CorrGray,Location_CenterMassIntensity_X_OrigBlot,Location_CenterMassIntensity_Y_CorrGray,Location_CenterMassIntensity_Y_OrigBlot,Location_Center_X,Location_Center_Y
1,1,452,78.41043613106012,134.77296106517315,212.79919058180693,212.11758541792,125.43251117659337,125.43796664610608,211.17256637168143,125.44690265486726
1,2,502,85.81954653561115,147.9668879956007,1216.462916932142,1215.684424791333,126.14582053487288,126.14350154634239,1214.6115537848605,126.13545816733068
1,3,471,80.40024305135012,138.7230031043291,1415.141315783066,1414.4925499512285,125.0632685785293,125.08912079687703,1413.5987261146497,125.12314225053079
1,4,517,88.18797670304775,151.9421682804823,1814.7373632007611,1813.9541538847184,125.85111790771049,125.80194335587764,1812.8742746615087,125.7311411992263
1,5,487,83.85320723056793,144.21399238705635,2015.351025949512,2014.707196359566,126.06950368625523,126.08207667778295,2013.8151950718686,126.0965092402464
1,6,480,82.21367368102074,141.4710459858179,415.5792185403082,414.8096330585535,126.37065740048028,126.34317217803118,413.74791666666664,126.30208333333333
1,7,498,84.6907454058528,146.51735670864582,814.2134328255867,813.4690997615567,125.87978108160425,125.81547216852252,812.4518072289156,125.72690763052209
1,8,497,86.11598601937294,147.5400319248438,1016.1524274146932,1015.4196837226151,127.07017794755852,127.03881741571519,1014.3923541247485,126.99396378269617
1,9,458,78.50723914057016,135.44527354836464,1618.8089190349722,1618.1443335278277,125.9481946748288,125.93916648912506,1617.2292576419213,125.92576419213974
1,10,444,76.13301131874323,131.40802615880966,614.8242947092243,614.2389392561801,127.28726992278807,127.28294490096397,613.4391891891892,127.27027027027027
1,11,474,82.29091266542673,141.06797902286053,413.9392080014714,413.2128536978612,176.04483757624845,176.0343732621811,412.20042194092827,176.0168776371308
1,12,471,81.49861933290958,139.96903961896896,1018.0572595237737,1017.4462782757106,175.92316398833782,175.98300761204146,1016.5944798301487,176.06369426751593
1,13,507,87.27938942611217,150.3241474032402,2012.3973502896918,2011.5755697051495,175.30152531447862,175.2962464688201,2010.4378698224853,175.2879684418146
1,14,442,78.44582371413708,133.74988941848278,616.5807396645047,615.9317755077159,175.73103439434448,175.73976986049848,615.0113122171946,175.75113122171945
1,15,453,78.98812852799892,135.20997950434685,814.2300480447439,813.6204665199166,175.66063451087226,175.686976704706,812.7682119205298,175.72406181015452
1,16,491,84.88834844529629,145.73987931013107,1414.8011830430726,1414.0953169339432,175.7700694647635,175.7609419947087,1413.112016293279,175.74541751527494
1,17,480,84.11322082579136,143.99874879419804,1613.7205979015062,1613.0347146773595,176.286200446897,176.2566091674589,1612.0729166666667,176.2125
1,18,476,81.26724574714899,140.60843847692013,212.69209242050974,212.0133205534401,176.57379788918064,176.58261200984882,211.0861344537815,176.59453781512605
1,19,517,90.47369902580976,154.78692327439785,1213.3256895007432,1212.5715515919103,176.45704998648168,176.50493637962262,1211.5125725338492,176.5744680851064
1,20,474,80.65606347471476,139.1835664510727,1813.2977743512556,1812.6464798554493,175.81605378299352,175.8501627206004,1811.7489451476793,175.89662447257385
1,21,470,81.6542295590043,140.28482484817505,1617.6110868162832,1616.9850228914752,225.1159438626629,225.186194227624,1616.1148936170214,225.2851063829787
